,city,object,type,geometry,lat,lon
0,Москва,amenity,cafe,POINT (37.5271538 55.6517026),55.6517026,37.5271538
1,Москва,amenity,cafe,POINT (37.6888836 55.7052212),55.7052212,37.6888836
2,Москва,amenity,cafe,POINT (37.6787149 55.7897054),55.7897054,37.6787149
3,Москва,amenity,cafe,POINT (37.7857738 55.6976881),55.6976881,37.7857738
4,Москва,amenity,cafe,POINT (37.5729914 55.6866726),55.6866726,37.5729914
5,Москва,amenity,cafe,POINT (37.6530369 55.738555),55.738555,37.6530369
6,Москва,amenity,cafe,POINT (37.5973739 55.6567323),55.6567323,37.5973739
7,Москва,amenity,cafe,POINT (37.8593626 55.7404892),55.7404892,37.8593626
8,Москва,amenity,cafe,POINT (37.8546333 55.7376936),55.7376936,37.8546333
9,Москва,amenity,cafe,POINT (37.5767712 55.580458),55.580458,37.5767712
10,Москва,amenity,cafe,POINT (37.6287265 55.7413227),55.7413227,37.6287265
11,Москва,amenity,cafe,POINT (37.5609638 55.7464981),55.7464981,37.5609638
12,Москва,amenity,cafe,POINT (37.5261032 55.6436251),55.6436251,37.5261032
13,Москва,amenity,cafe,POINT (37.4286725 55.7413059),55.7413059,37.4286725
14,Москва,amenity,cafe,POINT (37.6002154 55.6294407),55.6294407,37.6002154
15,Москва,amenity,cafe,POINT (37.5534398 55.6715942),55.6715942,37.5534398
16,Москва,amenity,cafe,POINT (37.6316441 55.757364),55.757364,37.6316441
17,Москва,amenity,cafe,POINT (37.6036692 55.64074),55.64074,37.6036692
18,Москва,amenity,cafe,POINT (37.6839384 55.871815),55.871815,37.6839384
19,Москва,amenity,cafe,POINT (37.7040352 55.8653693),55.8653693,37.7040352
20,Москва,amenity,cafe,POINT (37.6586654 55.7576428),55.7576428,37.6586654
21,Москва,amenity,cafe,POINT (37.664561 55.6729122),55.6729122,37.664561
22,Москва,amenity,cafe,POINT (37.7360995 55.7048721),55.7048721,37.7360995
23,Москва,amenity,cafe,POINT (37.6055185 55.6227585),55.6227585,37.6055185
24,Москва,amenity,cafe,POINT (37.6195797 55.8959871),55.8959871,37.6195797
25,Москва,amenity,cafe,POINT (37.6352842 55.7305169),55.7305169,37.6352842
26,Москва,amenity,cafe,POINT (37.6336134 55.7310081),55.7310081,37.6336134
27,Москва,amenity,cafe,POINT (37.7747373 55.7990447),55.7990447,37.7747373
