,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Новокосино,55.745113,37.864052,8,Калининская,8.189,0
1,Новогиреево,55.752237,37.814587,8,Калининская,8.88,1
2,Перово,55.75098,37.78422,8,Калининская,8.107,2
3,Шоссе Энтузиастов,55.75809,37.751703,8,Калининская,8.158,3
4,Авиамоторная,55.751933,37.717444,8,Калининская,8.1,4
5,Площадь Ильича,55.747115,37.680726,8,Калининская,8.112,5
6,Марксистская,55.740746,37.65604,8,Калининская,8.78,6
7,Третьяковская,55.741125,37.626142,8,Калининская,8.91,7
8,Ховрино,55.8777,37.4877,2,Замоскворецкая,2.558,0
9,Беломорская,55.8651,37.4764,2,Замоскворецкая,2.674,1
10,Речной вокзал,55.854152,37.476728,2,Замоскворецкая,2.125,2
11,Водный стадион,55.838978,37.487515,2,Замоскворецкая,2.29,3
12,Войковская,55.818923,37.497791,2,Замоскворецкая,2.3,4
13,Сокол,55.805564,37.515245,2,Замоскворецкая,2.133,5
14,Аэропорт,55.800441,37.530477,2,Замоскворецкая,2.12,6
15,Динамо,55.789704,37.558212,2,Замоскворецкая,2.34,7
16,Белорусская,55.777439,37.582107,2,Замоскворецкая,2.19,8
17,Маяковская,55.769808,37.596192,2,Замоскворецкая,2.8,9
18,Тверская,55.765343,37.603918,2,Замоскворецкая,2.122,10
19,Театральная,55.758808,37.61768,2,Замоскворецкая,2.99,11
20,Новокузнецкая,55.742391,37.62928,2,Замоскворецкая,2.89,12
21,Павелецкая,55.729741,37.638693,2,Замоскворецкая,2.101,13
22,Автозаводская,55.706634,37.657008,2,Замоскворецкая,2.2,14
23,Технопарк,55.695,37.664167,2,Замоскворецкая,2.512,15
24,Коломенская,55.677423,37.663719,2,Замоскворецкая,2.53,16
25,Каширская,55.655745,37.649683,2,Замоскворецкая,2.45,17
26,Кантемировская,55.636107,37.656218,2,Замоскворецкая,2.42,18
27,Царицыно,55.620982,37.669612,2,Замоскворецкая,2.153,19
28,Орехово,55.61269,37.695214,2,Замоскворецкая,2.96,20
29,Домодедовская,55.610131,37.717111,2,Замоскворецкая,2.38,21
30,Красногвардейская,55.614075,37.742697,2,Замоскворецкая,2.57,22
31,Алма-Атинская,55.63349,37.765678,2,Замоскворецкая,2.257,23
32,Медведково,55.888103,37.661562,6,Калужско-Рижская,6.81,0
33,Бабушкинская,55.870641,37.664341,6,Калужско-Рижская,6.13,1
34,Свиблово,55.855558,37.653379,6,Калужско-Рижская,6.129,2
35,Ботанический сад,55.844597,37.637811,6,Калужско-Рижская,6.24,3
36,ВДНХ,55.819626,37.640751,6,Калужско-Рижская,6.27,4
37,Алексеевская,55.807794,37.638699,6,Калужско-Рижская,6.8,5
38,Рижская,55.792494,37.636114,6,Калужско-Рижская,6.126,6
39,Проспект Мира,55.781827,37.633199,6,Калужско-Рижская,6.12,7
40,Сухаревская,55.772315,37.63285,6,Калужско-Рижская,6.137,8
41,Тургеневская,55.765371,37.636732,6,Калужско-Рижская,6.144,9
42,Китай-город,55.756498,37.631326,6,Калужско-Рижская,6.5,10
43,Третьяковская,55.74073,37.625624,6,Калужско-Рижская,6.9,11
44,Октябрьская,55.731232,37.612851,6,Калужско-Рижская,6.94,12
45,Шаболовская,55.718828,37.607892,6,Калужско-Рижская,6.157,13
46,Ленинский проспект,55.70678,37.58499,6,Калужско-Рижская,6.74,14
47,Академическая,55.687147,37.5723,6,Калужско-Рижская,6.3,15
48,Профсоюзная,55.677671,37.562595,6,Калужско-Рижская,6.121,16
49,Новые Черемушки,55.670077,37.554493,6,Калужско-Рижская,6.92,17
50,Калужская,55.656682,37.540075,6,Калужско-Рижская,6.41,18
51,Беляево,55.642357,37.526115,6,Калужско-Рижская,6.21,19
52,Коньково,55.631857,37.519156,6,Калужско-Рижская,6.56,20
53,Теплый Стан,55.61873,37.505912,6,Калужско-Рижская,6.14,21
54,Ясенево,55.606182,37.5334,6,Калужско-Рижская,6.164,22
55,Новоясеневская,55.601947,37.553017,6,Калужско-Рижская,6.23,23
56,Бульвар Рокоссовского,55.814916,37.732227,1,Сокольническая,1.148,0
57,Черкизовская,55.802787,37.744863,1,Сокольническая,1.155,1
58,Преображенская площадь,55.796322,37.713582,1,Сокольническая,1.117,2
59,Сокольники,55.789282,37.679895,1,Сокольническая,1.134,3
60,Красносельская,55.780014,37.666097,1,Сокольническая,1.6,4
61,Комсомольская,55.774072,37.654565,1,Сокольническая,1.54,5
62,Красные ворота,55.768307,37.6478,1,Сокольническая,1.61,6
63,Чистые пруды,55.76499,37.638293,1,Сокольническая,1.143,7
64,Лубянка,55.759889,37.625336,1,Сокольническая,1.66,8
65,Охотный ряд,55.757228,37.615078,1,Сокольническая,1.98,9
66,Библиотека им.Ленина,55.752123,37.610388,1,Сокольническая,1.4,10
67,Кропоткинская,55.745297,37.604217,1,Сокольническая,1.64,11
68,Парк культуры,55.736163,37.595027,1,Сокольническая,1.103,12
69,Фрунзенская,55.727462,37.58022,1,Сокольническая,1.152,13
70,Спортивная,55.722388,37.562041,1,Сокольническая,1.135,14
71,Воробьевы горы,55.709169,37.557293,1,Сокольническая,1.165,15
72,Университет,55.69329,37.534511,1,Сокольническая,1.149,16
73,Проспект Вернадского,55.676549,37.504584,1,Сокольническая,1.118,17
74,Юго-Западная,55.663146,37.482852,1,Сокольническая,1.162,18
75,Тропарево,55.6459,37.4725,1,Сокольническая,1.505,19
76,Румянцево,55.633,37.4419,1,Сокольническая,1.513,20
77,Саларьево,55.6227,37.424,1,Сокольническая,1.514,21
78,Филатов луг,55.5997,37.4075,1,Сокольническая,1.678,22
79,Прокшино,55.5813,37.4425,1,Сокольническая,1.679,23
80,Ольховая,55.5692,37.4589,1,Сокольническая,1.68,24
81,Новомосковская (Коммунарка),55.559765,37.468716,1,Сокольническая,1.681,25
82,Потапово,55.552538,37.490978,1,Сокольническая,1.919,26
83,Щелковская,55.809962,37.798261,3,Арбатско-Покровская,3.159,0
84,Первомайская,55.794376,37.799364,3,Арбатско-Покровская,3.106,1
85,Измайловская,55.787713,37.779896,3,Арбатско-Покровская,3.4,2
86,Партизанская,55.788401,37.74882,3,Арбатско-Покровская,3.105,3
87,Семеновская,55.783096,37.719289,3,Арбатско-Покровская,3.13,4
88,Электрозаводская,55.782057,37.7053,3,Арбатско-Покровская,3.161,5
89,Бауманская,55.772405,37.67904,3,Арбатско-Покровская,3.17,6
90,Курская,55.758564,37.659039,3,Арбатско-Покровская,3.7,7
91,Площадь Революции,55.756741,37.62236,3,Арбатско-Покровская,3.1,8
92,Арбатская,55.752312,37.60349,3,Арбатско-Покровская,3.5,9
93,Смоленская,55.747713,37.583802,3,Арбатско-Покровская,3.131,10
94,Киевская,55.743117,37.564132,3,Арбатско-Покровская,3.47,11
95,Парк Победы,55.735679,37.516865,3,Арбатско-Покровская,3.173,12
96,Славянский бульвар,55.729542,37.470973,3,Арбатско-Покровская,3.176,13
97,Кунцевская,55.730673,37.446522,3,Арбатско-Покровская,3.69,14
98,Молодежная,55.741375,37.415627,3,Арбатско-Покровская,3.84,15
99,Крылатское,55.756842,37.408139,3,Арбатско-Покровская,3.65,16
100,Строгино,55.803831,37.402405,3,Арбатско-Покровская,3.174,17
101,Мякинино,55.823342,37.385214,3,Арбатско-Покровская,3.181,18
102,Волоколамская,55.835154,37.382453,3,Арбатско-Покровская,3.182,19
103,Митино,55.846098,37.36122,3,Арбатско-Покровская,3.183,20
104,Пятницкое шоссе,55.853634,37.353108,3,Арбатско-Покровская,3.463,21
105,Кунцевская,55.730815,37.446754,4,Филевская,4.471,0
106,Пионерская,55.736027,37.466728,4,Филевская,4.11,1
107,Филевский парк,55.739665,37.483902,4,Филевская,4.15,2
108,Багратионовская,55.743544,37.497042,4,Филевская,4.14,3
109,Фили,55.746763,37.514035,4,Филевская,4.151,4
110,Кутузовская,55.740544,37.5341,4,Филевская,4.73,5
111,Студенческая,55.738761,37.54842,4,Филевская,4.136,6
112,Киевская,55.743168,37.565425,4,Филевская,4.48,7
113,Смоленская,55.749083,37.582173,4,Филевская,4.132,8
114,Арбатская,55.752122,37.601553,4,Филевская,4.11,9
115,Александровский сад,55.752255,37.608775,4,Филевская,4.6,10
116,Деловой центр (Выставочная),55.750243,37.542641,4,Филевская,4.172,11
117,Москва-Сити,55.748056,37.532778,4,Филевская,4.179,12
118,Алтуфьево,55.899034,37.586473,9,Серпуховско-Тимирязевская,9.9,0
119,Бибирево,55.883868,37.603011,9,Серпуховско-Тимирязевская,9.22,1
120,Отрадное,55.864273,37.605066,9,Серпуховско-Тимирязевская,9.97,2
121,Владыкино,55.848236,37.590451,9,Серпуховско-Тимирязевская,9.28,3
122,Петровско-Разумовская,55.836565,37.575512,9,Серпуховско-Тимирязевская,9.108,4
123,Тимирязевская,55.81866,37.574498,9,Серпуховско-Тимирязевская,9.141,5
124,Дмитровская,55.808056,37.581734,9,Серпуховско-Тимирязевская,9.35,6
125,Савёловская,55.794054,37.587163,9,Серпуховско-Тимирязевская,9.128,7
126,Менделеевская,55.781999,37.599141,9,Серпуховско-Тимирязевская,9.83,8
127,Цветной бульвар,55.771653,37.620466,9,Серпуховско-Тимирязевская,9.154,9
128,Чеховская,55.765747,37.608493,9,Серпуховско-Тимирязевская,9.123,10
129,Боровицкая,55.750399,37.60934,9,Серпуховско-Тимирязевская,9.7,11
130,Полянка,55.736795,37.618594,9,Серпуховско-Тимирязевская,9.115,12
131,Серпуховская,55.726548,37.624792,9,Серпуховско-Тимирязевская,9.37,13
132,Тульская,55.70961,37.622569,9,Серпуховско-Тимирязевская,9.142,14
133,Нагатинская,55.682099,37.620917,9,Серпуховско-Тимирязевская,9.85,15
134,Нагорная,55.672962,37.610397,9,Серпуховско-Тимирязевская,9.86,16
135,Нахимовский проспект,55.662379,37.605274,9,Серпуховско-Тимирязевская,9.87,17
136,Севастопольская,55.651451,37.59809,9,Серпуховско-Тимирязевская,9.43,18
137,Чертановская,55.640538,37.606065,9,Серпуховско-Тимирязевская,9.156,19
138,Южная,55.622436,37.609047,9,Серпуховско-Тимирязевская,9.163,20
139,Пражская,55.610962,37.602386,9,Серпуховско-Тимирязевская,9.116,21
140,Улица Академика Янгеля,55.596753,37.601498,9,Серпуховско-Тимирязевская,9.147,22
141,Аннино,55.583477,37.596999,9,Серпуховско-Тимирязевская,9.1,23
142,Бульвар Дмитрия Донского,55.568201,37.576856,9,Серпуховско-Тимирязевская,9.17,24
143,Планерная,55.859676,37.436808,7,Таганско-Краснопресненская,7.111,0
144,Сходненская,55.84926,37.44076,7,Таганско-Краснопресненская,7.138,1
145,Тушинская,55.825479,37.437024,7,Таганско-Краснопресненская,7.145,2
146,Спартак,55.8182,37.4352,7,Таганско-Краснопресненская,7.507,3
147,Щукинская,55.8094,37.463241,7,Таганско-Краснопресненская,7.16,4
148,Октябрьское поле,55.793581,37.493317,7,Таганско-Краснопресненская,7.95,5
149,Полежаевская,55.777201,37.517895,7,Таганско-Краснопресненская,7.114,6
150,Беговая,55.773505,37.545518,7,Таганско-Краснопресненская,7.18,7
151,Улица 1905 года,55.763944,37.562271,7,Таганско-Краснопресненская,7.146,8
152,Баррикадная,55.760793,37.581242,7,Таганско-Краснопресненская,7.16,9
153,Пушкинская,55.765607,37.604356,7,Таганско-Краснопресненская,7.124,10
154,Кузнецкий мост,55.761498,37.624423,7,Таганско-Краснопресненская,7.67,11
155,Китай-город,55.75436,37.633877,7,Таганско-Краснопресненская,7.51,12
156,Таганская,55.739502,37.653605,7,Таганско-Краснопресненская,7.77,13
