,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Райымбек батыра,43.271201,76.9448,64,Первая,64.43,0
1,Жибек Жолы,43.260199,76.946103,64,Первая,64.431,1
2,Алмалы,43.251295,76.945456,64,Первая,64.432,2
3,Абая,43.242548,76.949588,64,Первая,64.433,3
4,Байконур,43.240401,76.927696,64,Первая,64.434,4
5,Театр имени Ауэзова,43.240362,76.917519,64,Первая,64.435,5
6,Алатау,43.239041,76.897612,64,Первая,64.436,6
7,Сайран,43.2362,76.8764,64,Первая,64.51,7
8,Москва,43.23,76.867,64,Первая,64.511,8
9,Сары-Арка,43.22,76.851111,64,Первая,64.819,9
10,Бауыржан Момышулы,43.216389,76.838056,64,Первая,64.82,10
