,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Авиастроительная ,55.828897,49.081403,49,Центральная,49.462,0
1,Северный вокзал,55.841519,49.081778,49,Центральная,49.461,1
2,Яшьлек (Юность),55.827843,49.082905,49,Центральная,49.46,2
3,Козья слобода,55.817608,49.097646,49,Центральная,49.271,3
4,Кремлевская,55.795206,49.105426,49,Центральная,49.272,4
5,Площадь Тукая,55.787163,49.122126,49,Центральная,49.273,5
6,Суконная слобода,55.777094,49.142275,49,Центральная,49.274,6
7,Аметьево,55.765346,49.165083,49,Центральная,49.275,7
8,Горки,55.760763,49.189679,49,Центральная,49.276,8
9,Проспект Победы,55.750109,49.207735,49,Центральная,49.277,9
10,Дубравная,55.7425,49.2197,49,Центральная,49.64,10
