,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Холодная гора,49.982512,36.181804,59,Холодногорско-Заводская,59.373,0
1,Южный вокзал,49.989613,36.205178,59,Холодногорско-Заводская,59.374,1
2,Центральный рынок,49.99277,36.219731,59,Холодногорско-Заводская,59.375,2
3,Советская,49.991084,36.232568,59,Холодногорско-Заводская,59.376,3
4,Проспект Гагарина,49.980838,36.243402,59,Холодногорско-Заводская,59.377,4
5,Спортивная,49.979494,36.260532,59,Холодногорско-Заводская,59.378,5
6,Завод имени Малышева,49.975966,36.280996,59,Холодногорско-Заводская,59.379,6
7,Московский проспект,49.972259,36.301666,59,Холодногорско-Заводская,59.38,7
8,Маршала Жукова,49.966262,36.321187,59,Холодногорско-Заводская,59.381,8
9,Советской армии,49.961852,36.342926,59,Холодногорско-Заводская,59.382,9
10,Имени А. С. Масельского,49.958526,36.359787,59,Холодногорско-Заводская,59.383,10
11,Тракторный завод,49.952614,36.37876,59,Холодногорско-Заводская,59.384,11
12,Пролетарская,49.946562,36.399062,59,Холодногорско-Заводская,59.385,12
13,Героев труда,50.025398,36.336287,60,Салтовская линия,60.386,0
14,Студенческая,50.017683,36.329972,60,Салтовская линия,60.387,1
15,Академика Павлова,50.008965,36.317755,60,Салтовская линия,60.388,2
16,Академика Барабашова,50.002313,36.304092,60,Салтовская линия,60.389,3
17,Киевская,50.001213,36.270279,60,Салтовская линия,60.39,4
18,Пушкинская,50.003685,36.247489,60,Салтовская линия,60.391,5
19,Университет,50.004501,36.233781,60,Салтовская линия,60.392,6
20,Исторический музей,49.992926,36.231211,60,Салтовская линия,60.393,7
21,Алексеевская,50.0496,36.20666,61,Алексеевская,61.394,0
22,23 Августа,50.035524,36.220279,61,Алексеевская,61.395,1
23,Ботанический сад,50.026659,36.222938,61,Алексеевская,61.396,2
24,Научная,50.013,36.226962,61,Алексеевская,61.397,3
25,Госпром,50.004797,36.231571,61,Алексеевская,61.398,4
26,Архитектора Бекетова,49.998966,36.240518,61,Алексеевская,61.399,5
27,Площадь Восстания,49.988652,36.264808,61,Алексеевская,61.4,6
28,Метростроителей имени Ващенко,49.978915,36.262823,61,Алексеевская,61.401,7
