,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Академгородок,50.464784,30.355511,55,Святошинско-Броварская,55.316,0
1,Житомирская,50.455884,30.36479,55,Святошинско-Броварская,55.317,1
2,Святошин,50.457685,30.391776,55,Святошинско-Броварская,55.318,2
3,Нивки,50.458602,30.405682,55,Святошинско-Броварская,55.319,3
4,Берестейская,50.458562,30.420522,55,Святошинско-Броварская,55.32,4
5,Шулявская,50.454622,30.445208,55,Святошинско-Броварская,55.321,5
6,Политехнический институт,50.450814,30.466327,55,Святошинско-Броварская,55.322,6
7,Вокзальная,50.44178,30.488273,55,Святошинско-Броварская,55.323,7
8,Университет,50.444401,30.506006,55,Святошинско-Броварская,55.324,8
9,Театральная,50.445135,30.518178,55,Святошинско-Броварская,55.325,9
10,Крещатик,50.447218,30.524933,55,Святошинско-Броварская,55.326,10
11,Арсенальная,50.444332,30.545379,55,Святошинско-Броварская,55.327,11
12,Днепр,50.441217,30.559374,55,Святошинско-Броварская,55.328,12
13,Гидропарк,50.445956,30.57699,55,Святошинско-Броварская,55.329,13
14,Левобережная,50.4518,30.59811,55,Святошинско-Броварская,55.33,14
15,Дарница,50.455924,30.612905,55,Святошинско-Броварская,55.331,15
16,Черниговская,50.459852,30.630269,55,Святошинско-Броварская,55.332,16
17,Лесная,50.464629,30.645541,55,Святошинско-Броварская,55.333,17
18,Героев Днепра,50.52258,30.498891,56,Куреневско-Красноармейская,56.334,0
19,Минская,50.512196,30.498541,56,Куреневско-Красноармейская,56.335,1
20,Оболонь,50.501466,30.498253,56,Куреневско-Красноармейская,56.336,2
21,Петровка,50.486074,30.497885,56,Куреневско-Красноармейская,56.337,3
22,Тараса Шевченко,50.473286,30.505134,56,Куреневско-Красноармейская,56.338,4
23,Контрактовая площадь,50.465604,30.514836,56,Куреневско-Красноармейская,56.339,5
24,Почтовая площадь,50.458935,30.524933,56,Куреневско-Красноармейская,56.34,6
25,Майдан Независимости,50.450028,30.524196,56,Куреневско-Красноармейская,56.341,7
26,Площадь Льва Толстого,50.439221,30.516327,56,Куреневско-Красноармейская,56.342,8
27,Олимпийская,50.432244,30.51621,56,Куреневско-Красноармейская,56.343,9
28,"Дворец ""Украина""",50.420641,30.520738,56,Куреневско-Красноармейская,56.344,10
29,Лыбедская,50.412714,30.524879,56,Куреневско-Красноармейская,56.345,11
30,Демиевская,50.404563,30.516615,56,Куреневско-Красноармейская,56.346,12
31,Голосеевская,50.397879,30.510066,56,Куреневско-Красноармейская,56.347,13
32,Васильковская,50.392815,30.485551,56,Куреневско-Красноармейская,56.348,14
33,Выставочный центр,50.382092,30.477134,56,Куреневско-Красноармейская,56.349,15
34,Ипподром,50.376526,30.468923,56,Куреневско-Красноармейская,56.35,16
35,Теремки,50.367044,30.454203,56,Куреневско-Красноармейская,56.506,17
36,Сырец,50.476221,30.430736,57,Сырецко-Печерская,57.351,0
37,Дорогожичи,50.473452,30.448406,57,Сырецко-Печерская,57.352,1
38,Лукьяновская,50.462249,30.482101,57,Сырецко-Печерская,57.353,2
39,Золотые ворота,50.448342,30.513668,57,Сырецко-Печерская,57.354,3
40,Дворец спорта,50.437838,30.520684,57,Сырецко-Печерская,57.355,4
41,Кловская,50.436731,30.531922,57,Сырецко-Печерская,57.356,5
42,Печерская,50.427315,30.538776,57,Сырецко-Печерская,57.357,6
43,Дружбы народов,50.418001,30.544462,57,Сырецко-Печерская,57.358,7
44,Выдубичи,50.401428,30.560686,57,Сырецко-Печерская,57.359,8
45,Славутич,50.394164,30.604452,57,Сырецко-Печерская,57.36,9
46,Осокорки,50.395537,30.616148,57,Сырецко-Печерская,57.361,10
47,Позняки,50.398344,30.63433,57,Сырецко-Печерская,57.362,11
48,Харьковская,50.401072,30.652,57,Сырецко-Печерская,57.363,12
49,Вырлица,50.403185,30.665969,57,Сырецко-Печерская,57.364,13
50,Бориспольская,50.403403,30.682974,57,Сырецко-Печерская,57.365,14
51,Красный хутор,50.409505,30.695918,57,Сырецко-Печерская,57.366,15
