,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Уручье,53.945348,27.68782,62,Московская,62.402,0
1,Борисовский тракт,53.938506,27.665865,62,Московская,62.403,1
2,Восток,53.934509,27.651483,62,Московская,62.404,2
3,Московская,53.927978,27.627812,62,Московская,62.405,3
4,Парк Челюскинцев,53.924214,27.613646,62,Московская,62.406,4
5,Академия наук,53.92187,27.599066,62,Московская,62.407,5
6,Площадь Якуба Коласа,53.915369,27.583265,62,Московская,62.408,6
7,Площадь Победы,53.908644,27.575054,62,Московская,62.409,7
8,Октябрьская,53.901562,27.561068,62,Московская,62.41,8
9,Площадь Ленина,53.893875,27.548015,62,Московская,62.411,9
10,Институт Культуры,53.885899,27.538852,62,Московская,62.412,10
11,Грушевка,53.88669,27.514786,62,Московская,62.413,11
12,Михалово,53.876664,27.49691,62,Московская,62.414,12
13,Петровщина,53.86458,27.485807,62,Московская,62.415,13
14,Малиновка,53.849722,27.474722,62,Московская,62.472,14
15,Каменная Горка,53.90683,27.437558,63,Автозаводская,63.416,0
16,Кунцевщина,53.906236,27.453916,63,Автозаводская,63.417,1
17,Спортивная,53.908501,27.48083,63,Автозаводская,63.418,2
18,Пушкинская,53.909519,27.495499,63,Автозаводская,63.419,3
19,Молодежная,53.906527,27.521308,63,Автозаводская,63.42,4
20,Фрунзенская,53.905286,27.539328,63,Автозаводская,63.421,5
21,Немига,53.905615,27.55415,63,Автозаводская,63.422,6
22,Купаловская,53.901408,27.561247,63,Автозаводская,63.423,7
23,Первомайская,53.893763,27.570167,63,Автозаводская,63.424,8
24,Пролетарская,53.88972,27.585466,63,Автозаводская,63.425,9
25,Тракторный завод,53.890033,27.614374,63,Автозаводская,63.426,10
26,Партизанская,53.87582,27.628998,63,Автозаводская,63.427,11
27,Автозаводская,53.868945,27.648788,63,Автозаводская,63.428,12
28,Могилевская,53.861862,27.674381,63,Автозаводская,63.429,13
29,Вокзальная,53.889722,27.546944,134,Зеленолужская,134.796,0
30,Юбилейная площадь,53.904406,27.539975,134,Зеленолужская,134.797,1
31,Площадь Франтишка Богушевича,53.896667,27.538333,134,Зеленолужская,134.798,2
32,Ковальская Слобода,53.874167,27.549444,134,Зеленолужская,134.799,3
