,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Горьковская,56.313933,43.99482,50,Автозаводская,50.278,0
1,Московская,56.321097,43.945799,50,Автозаводская,50.279,1
2,Чкаловская,56.310637,43.936933,50,Автозаводская,50.28,2
3,Ленинская,56.297798,43.937328,50,Автозаводская,50.281,3
4,Заречная,56.285144,43.927528,50,Автозаводская,50.282,4
5,Двигатель Революции,56.277093,43.922012,50,Автозаводская,50.283,5
6,Пролетарская,56.266922,43.914143,50,Автозаводская,50.284,6
7,Автозаводская,56.257243,43.902357,50,Автозаводская,50.285,7
8,Комсомольская,56.252662,43.889888,50,Автозаводская,50.286,8
9,Кировская,56.247426,43.876719,50,Автозаводская,50.287,9
10,Парк Культуры,56.242034,43.85816,50,Автозаводская,50.288,10
11,Стрелка,56.3343,43.9597,51,Сормовская,51.606,0
12,Московская,56.321097,43.945799,51,Сормовская,51.289,1
13,Канавинская,56.320273,43.927438,51,Сормовская,51.29,2
14,Бурнаковская,56.325704,43.911897,51,Сормовская,51.291,3
15,Буревестник,56.333834,43.892799,51,Сормовская,51.292,4
