,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Заельцовская,55.059291,82.912569,52,Ленинская,52.294,0
1,Гагаринская,55.051071,82.91477,52,Ленинская,52.295,1
2,Красный проспект,55.040998,82.917447,52,Ленинская,52.296,2
3,Площадь Ленина,55.029941,82.92069,52,Ленинская,52.297,3
4,Октябрьская,55.018789,82.939007,52,Ленинская,52.298,4
5,Речной вокзал,55.008738,82.93827,52,Ленинская,52.299,5
6,Студенческая,54.989089,82.906631,52,Ленинская,52.3,6
7,Площадь Маркса,54.982931,82.89313,52,Ленинская,52.301,7
8,Площадь Гарина-Михайловского,55.035947,82.897783,53,Дзержинская,53.302,0
9,Сибирская,55.042163,82.919172,53,Дзержинская,53.303,1
10,Маршала Покрышкина,55.043634,82.935566,53,Дзержинская,53.304,2
11,Березовая роща,55.043242,82.952913,53,Дзержинская,53.305,3
12,Золотая нива,55.037928,82.976044,53,Дзержинская,53.306,4
