,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Девяткино,60.050182,30.443045,14,Кировско-Выборгская,14.19,0
1,Гражданский проспект,60.034969,30.418224,14,Кировско-Выборгская,14.191,1
2,Академическая,60.012806,30.396044,14,Кировско-Выборгская,14.192,2
3,Политехническая,60.008942,30.370907,14,Кировско-Выборгская,14.193,3
4,Площадь Мужества,59.999828,30.366159,14,Кировско-Выборгская,14.194,4
5,Лесная,59.984947,30.344259,14,Кировско-Выборгская,14.195,5
6,Выборгская,59.970925,30.347408,14,Кировско-Выборгская,14.196,6
7,Площадь Ленина,59.955611,30.35605,14,Кировско-Выборгская,14.197,7
8,Чернышевская,59.94453,30.359919,14,Кировско-Выборгская,14.198,8
9,Площадь Восстания,59.930279,30.361069,14,Кировско-Выборгская,14.199,9
10,Владимирская,59.927628,30.347898,14,Кировско-Выборгская,14.2,10
11,Пушкинская,59.92065,30.329599,14,Кировско-Выборгская,14.201,11
12,Технологический институт 1,59.916512,30.318485,14,Кировско-Выборгская,14.202,12
13,Балтийская,59.907211,30.299578,14,Кировско-Выборгская,14.203,13
14,Нарвская,59.901218,30.274908,14,Кировско-Выборгская,14.204,14
15,Кировский завод,59.879688,30.261921,14,Кировско-Выборгская,14.205,15
16,Автово,59.867325,30.261337,14,Кировско-Выборгская,14.206,16
17,Ленинский проспект,59.85117,30.268274,14,Кировско-Выборгская,14.207,17
18,Проспект Ветеранов,59.84211,30.250588,14,Кировско-Выборгская,14.208,18
19,Парнас,60.06699,30.333839,15,Московско-Петроградская,15.209,0
20,Проспект Просвещения,60.051456,30.332544,15,Московско-Петроградская,15.21,1
21,Озерки,60.037098,30.321495,15,Московско-Петроградская,15.211,2
22,Удельная,60.016697,30.315607,15,Московско-Петроградская,15.212,3
23,Пионерская,60.002487,30.296759,15,Московско-Петроградская,15.213,4
24,Чёрная речка,59.985455,30.300833,15,Московско-Петроградская,15.214,5
25,Петроградская,59.966389,30.311293,15,Московско-Петроградская,15.215,6
26,Горьковская,59.956112,30.31889,15,Московско-Петроградская,15.216,7
27,Невский проспект,59.935421,30.327052,15,Московско-Петроградская,15.217,8
28,Сенная площадь,59.927135,30.320316,15,Московско-Петроградская,15.218,9
29,Технологический институт 2,59.916512,30.318485,15,Московско-Петроградская,15.219,10
30,Фрунзенская,59.906273,30.31745,15,Московско-Петроградская,15.22,11
31,Московские ворота,59.891788,30.317873,15,Московско-Петроградская,15.221,12
32,Электросила,59.879189,30.318659,15,Московско-Петроградская,15.222,13
33,Парк Победы,59.866344,30.321802,15,Московско-Петроградская,15.223,14
34,Московская,59.848873,30.321483,15,Московско-Петроградская,15.224,15
35,Звёздная,59.833241,30.349428,15,Московско-Петроградская,15.225,16
36,Купчино,59.829781,30.375702,15,Московско-Петроградская,15.226,17
37,Беговая,59.98723,30.20247,16,Невско-Василеостровская,16.604,0
38,Приморская,59.948521,30.23447,16,Невско-Василеостровская,16.227,2
39,Василеостровская,59.942577,30.278254,16,Невско-Василеостровская,16.228,3
40,Гостиный двор,59.933933,30.33341,16,Невско-Василеостровская,16.229,4
41,Маяковская,59.931366,30.354645,16,Невско-Василеостровская,16.23,5
42,Площадь Александра Невского 1,59.924369,30.384989,16,Невско-Василеостровская,16.231,6
43,Елизаровская,59.89669,30.423656,16,Невско-Василеостровская,16.232,7
44,Ломоносовская,59.877342,30.441715,16,Невско-Василеостровская,16.233,8
45,Пролетарская,59.865,30.47,16,Невско-Василеостровская,16.234,9
46,Обухово,59.848709,30.457743,16,Невско-Василеостровская,16.235,10
47,Рыбацкое,59.830986,30.501259,16,Невско-Василеостровская,16.236,11
48,Зенит,59.972222,30.211667,16,Невско-Василеостровская,16.808,12
49,Спасская,59.927135,30.320316,17,Правобережная,17.237,0
50,Достоевская,59.928234,30.346029,17,Правобережная,17.238,1
51,Лиговский проспект,59.920811,30.355055,17,Правобережная,17.239,2
52,Площадь Александра Невского 2,59.923563,30.383421,17,Правобережная,17.24,3
53,Новочеркасская,59.929092,30.411915,17,Правобережная,17.241,4
54,Ладожская,59.93243,30.439274,17,Правобережная,17.242,5
55,Проспект Большевиков,59.919838,30.466757,17,Правобережная,17.243,6
56,Улица Дыбенко,59.907417,30.483311,17,Правобережная,17.244,7
57,Комендантский проспект,60.008591,30.258663,18,Фрунзенско-Приморская,18.245,0
58,Старая Деревня,59.989433,30.255163,18,Фрунзенско-Приморская,18.246,1
59,Крестовский остров,59.971821,30.259436,18,Фрунзенско-Приморская,18.247,2
60,Чкаловская,59.961033,30.292006,18,Фрунзенско-Приморская,18.248,3
61,Спортивная,59.952026,30.291338,18,Фрунзенско-Приморская,18.249,4
62,Адмиралтейская,59.935867,30.31523,18,Фрунзенско-Приморская,18.258,5
63,Садовая,59.926739,30.317753,18,Фрунзенско-Приморская,18.25,6
64,Звенигородская,59.92065,30.329599,18,Фрунзенско-Приморская,18.251,7
65,Обводный Канал,59.914686,30.34815,18,Фрунзенско-Приморская,18.252,8
66,Волковская,59.896023,30.35754,18,Фрунзенско-Приморская,18.253,9
67,Бухарестская,59.883769,30.368932,18,Фрунзенско-Приморская,18.259,10
68,Международная,59.870203,30.379289,18,Фрунзенско-Приморская,18.26,11
69,Дунайская,59.839889,30.410667,18,Фрунзенско-Приморская,18.682,12
70,Проспект Славы,59.856704,30.395402,18,Фрунзенско-Приморская,18.683,13
71,Шушары,59.819973,30.432718,18,Фрунзенско-Приморская,18.684,14
