,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Алабинская,53.209689,50.134417,54,Первая,54.509,0
1,Российская,53.211385,50.15022,54,Первая,54.307,1
2,Московская,53.203791,50.159832,54,Первая,54.308,2
3,Гагаринская,53.200442,50.176595,54,Первая,54.309,3
4,Спортивная,53.201121,50.199286,54,Первая,54.31,4
5,Советская,53.201736,50.220657,54,Первая,54.311,5
6,Победа,53.207313,50.236414,54,Первая,54.312,6
7,Безымянка,53.212997,50.248891,54,Первая,54.313,7
8,Кировская,53.211352,50.269777,54,Первая,54.314,8
9,Юнгородок,53.212701,50.282982,54,Первая,54.315,9
